config_label,model,iteration,sector,method,Umax,p_magnitude,amplitude_magnitude,r2_magnitude,p_complex,A_real,A_imag,complex_rel_rms,n_fit
reference,scalar,4,-1,quadratic_all,0.05,0.2929684531707631,1.4079972342431398e-10,0.10321202204481827,0.20000000000000023,5.197965964330171e-11,7.438337413327671e-11,0.24471787062658018,8
reference,scalar,4,-1,quadratic_small4,0.015,1.0416588881511102,3.50973764623206e-09,0.41231883490724275,0.8060788223512148,9.839334234593995e-10,9.307497119301227e-10,0.2051761468621458,5
reference,scalar,4,-1,quadratic_small4,0.02,0.892764475804804,1.5838693431014707e-09,0.4295795098543722,0.5685085036609805,2.991541063593983e-10,2.849394819556608e-10,0.2053698911963268,6
reference,scalar,4,-1,quadratic_small4,0.03,0.6902320742998426,5.546703005973716e-10,0.37954561922594277,0.357453729749688,1.0589365220544813e-10,1.014219520002869e-10,0.2144936402414547,7
reference,scalar,4,-1,quadratic_small4,0.05,0.4254813870819399,1.472925651416577e-10,0.22155045904973003,0.20000000000037638,3.6888127749940134e-11,4.5777277133087384e-11,0.32193073943419886,8
reference,scalar,4,1,linear_all,0.015,0.5799685972175421,8.642340410064236e-10,0.6847085310507215,0.36752433694894887,2.2118721276354313e-10,2.246967296362123e-10,0.11607639869057533,5
reference,scalar,4,1,linear_all,0.02,0.41935820753562425,3.663410085609084e-10,0.5378186196366594,0.24755623109342295,1.1698891614440014e-10,1.2098127787952805e-10,0.12579730977741804,6
reference,scalar,4,1,linear_all,0.03,0.2352390396614613,1.4113334930463175e-10,0.2502772975262971,0.2000000000000056,8.382616209538631e-11,9.107206776456405e-11,0.15670382665093266,7
reference,scalar,4,1,linear_all,0.05,0.42095142325921503,3.5774127721972836e-10,0.5078882071721456,0.20000000000005091,2.0049463618340887e-11,3.0043199295797085e-11,0.31835424990690836,8
reference,scalar,4,1,linear_drop_largest,0.015,0.9333210385258639,4.522399160859445e-09,0.383160032392009,0.20000000000300347,1.0888642623837318e-10,1.1049567940431684e-10,0.2056723980310565,5
reference,scalar,4,1,linear_drop_largest,0.02,0.6601057469614522,1.0502404344942132e-09,0.2905261219385543,0.20000000000000004,1.0079853874061218e-10,1.0324092415880949e-10,0.19365047477994446,6
reference,scalar,4,1,linear_drop_largest,0.03,0.40900079142746293,2.8596921068501814e-10,0.1685011402074702,0.20000000000000004,8.970549716922421e-11,9.456973744676091e-11,0.1915558841053846,7
reference,scalar,4,1,linear_drop_largest,0.05,0.4678764781364718,3.8404192805994214e-10,0.28739068040962534,0.20000000000030793,3.5607866302805945e-11,5.294563208198882e-11,0.3930358958360462,8
reference,scalar,4,1,linear_small3,0.015,1.241820499224657,1.4750687594380231e-08,0.6299545855758248,0.5377324292270808,3.8184926356762775e-10,3.7542537480951813e-10,0.22149754049170367,5
reference,scalar,4,1,linear_small3,0.02,0.9330875593529746,2.833364679414201e-09,0.5282496701604891,0.3805073362537811,1.675706851280518e-10,1.6613389399446672e-10,0.21971888137602885,6
reference,scalar,4,1,linear_small3,0.03,0.6453412935989558,6.381055255909793e-10,0.38169714311244785,0.2278525441960429,7.624831906018688e-11,7.702904391227986e-11,0.22702737953857488,7
reference,scalar,4,1,linear_small3,0.05,0.5316763724829668,3.6112881192300105e-10,0.37943730802343045,0.20000000000000007,3.4136881912504474e-11,4.718903141159766e-11,0.46952294545667644,8
reference,scalar,4,1,quadratic_all,0.015,0.9071712703561466,3.488574022547344e-09,0.2809158408261231,0.2000000000000131,1.0356655893195488e-10,1.0401909548788043e-10,0.2380495588268256,5
