# omega normalized_positive_A_imp_smooth
-1.322055137844611483e+00 9.219195622306905133e-03
-1.308270676691729584e+00 9.527103493238190182e-03
-1.294486215538847240e+00 9.851856538351225559e-03
-1.280701754385964897e+00 1.019475677148285256e-02
-1.266917293233082997e+00 1.055723727320796550e-02
-1.253132832080200654e+00 1.094087854508355578e-02
-1.239348370927318310e+00 1.134742731258144358e-02
-1.225563909774436411e+00 1.177881820677319225e-02
-1.211779448621554067e+00 1.223719884195770095e-02
-1.197994987468671724e+00 1.272495891364998355e-02
-1.184210526315789380e+00 1.324476407390607312e-02
-1.170426065162907481e+00 1.379959550559200360e-02
-1.156641604010025137e+00 1.439279632267257206e-02
-1.142857142857142794e+00 1.502812618133396970e-02
-1.129072681704260894e+00 1.570982581178425805e-02
-1.115288220551378551e+00 1.644269359275539813e-02
-1.101503759398496207e+00 1.723217681648844118e-02
-1.087719298245614308e+00 1.808448096673775582e-02
-1.073934837092731964e+00 1.900670120389773635e-02
-1.060150375939849621e+00 2.000698138478892996e-02
-1.046365914786967721e+00 2.109470742915972585e-02
-1.032581453634085378e+00 2.228074380397192938e-02
-1.018796992481203034e+00 2.357772450226806524e-02
-1.005012531328321135e+00 2.500041338848384836e-02
-9.912280701754387913e-01 2.656615351164466621e-02
-9.774436090225564477e-01 2.829543144817400421e-02
-9.636591478696745483e-01 3.021259164817206508e-02
-9.498746867167922048e-01 3.234674818305127708e-02
-9.360902255639098613e-01 3.473295880532160929e-02
-9.223057644110275177e-01 3.741375120834312257e-02
-9.085213032581456183e-01 4.044112743844940905e-02
-8.947368421052632748e-01 4.387922516323824323e-02
-8.809523809523809312e-01 4.780789270036154420e-02
-8.671679197994990318e-01 5.232755223385492788e-02
-8.533834586466166883e-01 5.756590466075196810e-02
-8.395989974937343447e-01 6.368730560988766776e-02
-8.258145363408524453e-01 7.090607216666619528e-02
-8.120300751879701018e-01 7.950565191633174322e-02
-7.982456140350877583e-01 8.986662619141222441e-02
-7.844611528822058588e-01 1.025080663402478387e-01
-7.706766917293235153e-01 1.181488054319122932e-01
-7.568922305764411718e-01 1.377969731075263937e-01
-7.431077694235588282e-01 1.628745460975619119e-01
-7.293233082706769288e-01 1.953704046846032050e-01
-7.155388471177945853e-01 2.379767051241528097e-01
-7.017543859649122417e-01 2.940942643642238119e-01
-6.879699248120303423e-01 3.675097267949281044e-01
-6.741854636591479988e-01 4.614779868190119760e-01
-6.604010025062656553e-01 5.766010122039916252e-01
-6.466165413533837558e-01 7.067012210314138621e-01
-6.328320802005014123e-01 8.346615608581599011e-01
-6.190476190476190688e-01 9.360293567946037507e-01
-6.052631578947371693e-01 9.926312719174124055e-01
-5.914786967418548258e-01 1.000000000000000000e+00
-5.776942355889724823e-01 9.599395793714423641e-01
-5.639097744360905828e-01 8.769461940954187407e-01
-5.501253132832082393e-01 7.651417744183722780e-01
-5.363408521303258958e-01 6.472540164197523316e-01
-5.225563909774439963e-01 5.425605789727904193e-01
-5.087719298245616528e-01 4.596058994788504437e-01
-4.949874686716793093e-01 3.988242073200027882e-01
-4.812030075187969658e-01 3.574624658553797185e-01
-4.674185463659150663e-01 3.312289432060510075e-01
-4.536340852130327228e-01 3.132901443018969445e-01
-4.398496240601503793e-01 2.943923454482766378e-01
-4.260651629072684798e-01 2.676182332332703862e-01
-4.122807017543861363e-01 2.347128255581141798e-01
-3.984962406015037928e-01 2.046984269217747843e-01
-3.847117794486218934e-01 1.851980896948638156e-01
-3.709273182957395498e-01 1.774273434291464557e-01
-3.571428571428572063e-01 1.780802707096210413e-01
-3.433583959899753069e-01 1.839804110878663079e-01
-3.295739348370929633e-01 1.953616500302845504e-01
-3.157894736842106198e-01 2.148004945182543091e-01
-3.020050125313282763e-01 2.437598396238156717e-01
-2.882205513784463768e-01 2.803837020662185986e-01
-2.744360902255640333e-01 3.187377184920969220e-01
-2.606516290726816898e-01 3.502767022883487846e-01
-2.468671679197997904e-01 3.684334672567098345e-01
-2.330827067669174468e-01 3.713202443995169966e-01
-2.192982456140351033e-01 3.591529359312097269e-01
-2.055137844611532039e-01 3.326268015801878142e-01
-1.917293233082708603e-01 2.954355063978442164e-01
-1.779448621553885168e-01 2.547421719306499632e-01
-1.641604010025066174e-01 2.172852896244564513e-01
-1.503759398496242738e-01 1.863024086098156173e-01
-1.365914786967419303e-01 1.619657264276053443e-01
-1.228070175438600309e-01 1.431630004680064239e-01
-1.090225563909776874e-01 1.286349119517739559e-01
-9.523809523809534383e-02 1.173479228942405916e-01
-8.145363408521344439e-02 1.085310760284757398e-01
-6.766917293233110087e-02 1.016246160016242989e-01
-5.388471177944875734e-02 9.623124348335111711e-02
-4.010025062656641381e-02 9.209869258244819668e-02
-2.631578947368451438e-02 8.908625514725736216e-02
-1.253132832080217085e-02 8.704128174210036539e-02
1.253132832080172676e-03 8.565961238827472790e-02
1.503759398496207211e-02 8.455834023184886916e-02
2.882205513784441564e-02 8.356479628048477104e-02
4.260651629072675917e-02 8.286999499623795562e-02
5.639097744360865860e-02 8.297824345915087718e-02
7.017543859649100213e-02 8.479589814534960190e-02
8.395989974937334566e-02 8.962181875657114494e-02
9.774436090225524509e-02 9.851385833327667985e-02
1.115288220551375886e-01 1.117223200095489311e-01
1.253132832080199321e-01 1.291279311446853761e-01
1.390977443609022757e-01 1.510463695468755030e-01
1.528822055137841751e-01 1.783849488971959163e-01
1.666666666666665186e-01 2.119573820491502114e-01
1.804511278195488622e-01 2.508969059098800636e-01
1.942355889724307616e-01 2.907632514142822200e-01
2.080200501253131051e-01 3.241200883380484510e-01
2.218045112781954487e-01 3.450808701090518626e-01
2.355889724310773481e-01 3.525390449605026455e-01
2.493734335839596916e-01 3.472485574776271178e-01
2.631578947368420351e-01 3.286602974146252687e-01
