# omega normalized_positive_A_imp_smooth
-1.804511278195488844e+00 2.867864896775045025e-02
-1.790726817042606722e+00 3.088609894134017320e-02
-1.776942355889724379e+00 3.337138792341914906e-02
-1.763157894736842257e+00 3.618383779858545118e-02
-1.749373433583959914e+00 3.938422431315445615e-02
-1.735588972431077792e+00 4.304810474223987743e-02
-1.721804511278195671e+00 4.727031900502496470e-02
-1.708020050125313327e+00 5.217115490164014879e-02
-1.694235588972431206e+00 5.790490638324532341e-02
-1.680451127819548862e+00 6.467192322962640738e-02
-1.666666666666666741e+00 7.273583046317708134e-02
-1.652882205513784619e+00 8.244851456937880851e-02
-1.639097744360902276e+00 9.428693319512161664e-02
-1.625313283208020154e+00 1.089080997106309096e-01
-1.611528822055138033e+00 1.272320582013490020e-01
-1.597744360902255689e+00 1.505672987745121372e-01
-1.583959899749373568e+00 1.807969784668860547e-01
-1.570175438596491446e+00 2.206385028582475705e-01
-1.556390977443609103e+00 2.739368963495988352e-01
-1.542606516290726981e+00 3.457554416384321927e-01
-1.528822055137844638e+00 4.414804990623527603e-01
-1.515037593984962516e+00 5.633471474837723481e-01
-1.501253132832080395e+00 7.038023456842409376e-01
-1.487468671679198273e+00 8.410334701177334393e-01
-1.473684210526315930e+00 9.463448290961590237e-01
-1.459899749373433586e+00 1.000000000000000000e+00
-1.446115288220551687e+00 9.958085120381909849e-01
-1.432330827067669343e+00 9.336736177011026871e-01
-1.418546365914787000e+00 8.217016019816864025e-01
-1.404761904761905100e+00 6.830671740706919515e-01
-1.390977443609022757e+00 5.465585686161911205e-01
-1.377192982456140413e+00 4.306450311668363340e-01
-1.363408521303258070e+00 3.400619179498735045e-01
-1.349624060150376170e+00 2.718832707046819341e-01
-1.335839598997493827e+00 2.211203950042965050e-01
-1.322055137844611483e+00 1.831895249840335138e-01
-1.308270676691729584e+00 1.545386080507341886e-01
-1.294486215538847240e+00 1.326042849666917156e-01
-1.280701754385964897e+00 1.155865877068569525e-01
-1.266917293233082997e+00 1.022282712029706914e-01
-1.253132832080200654e+00 9.164561284622042836e-02
-1.239348370927318310e+00 8.321040534557469504e-02
-1.225563909774436411e+00 7.647069978243432875e-02
-1.211779448621554067e+00 7.109847859276482995e-02
-1.197994987468671724e+00 6.685706775379594846e-02
-1.184210526315789380e+00 6.358489490853808102e-02
-1.170426065162907481e+00 6.118486348329442437e-02
-1.156641604010025137e+00 5.958959266930145826e-02
-1.142857142857142794e+00 5.869762053085313125e-02
-1.129072681704260894e+00 5.836173297051287789e-02
-1.115288220551378551e+00 5.849099123900439179e-02
-1.101503759398496207e+00 5.914683946658261249e-02
-1.087719298245614308e+00 6.048548505250051638e-02
-1.073934837092731964e+00 6.263351630814578686e-02
-1.060150375939849621e+00 6.566995622632650076e-02
-1.046365914786967721e+00 6.969448902739112939e-02
-1.032581453634085378e+00 7.487537765974801307e-02
-1.018796992481203034e+00 8.146498467438684221e-02
-1.005012531328321135e+00 8.981846835335020873e-02
-9.912280701754387913e-01 1.004316625717971562e-01
-9.774436090225564477e-01 1.140027384665055626e-01
-9.636591478696745483e-01 1.315252623513698815e-01
-9.498746867167922048e-01 1.544230188409707605e-01
-9.360902255639098613e-01 1.847284107550402066e-01
-9.223057644110275177e-01 2.252677192307648568e-01
-9.085213032581456183e-01 2.796969695677922751e-01
-8.947368421052632748e-01 3.519834619134664666e-01
-8.809523809523809312e-01 4.444051773329869559e-01
-8.671679197994990318e-01 5.531133147012134987e-01
-8.533834586466166883e-01 6.634582239488638900e-01
-8.395989974937343447e-01 7.531436414640888533e-01
-8.258145363408524453e-01 8.057891544930454453e-01
-8.120300751879701018e-01 8.188407272331013065e-01
-7.982456140350877583e-01 7.950764490055092226e-01
-7.844611528822058588e-01 7.356421241533370736e-01
