beta0,control_gamma_pt_zero,threshold,max_step,threshold_reached,operational_RG_scale,log_scale_at_stop,gmax_at_stop,exchange_trace_real_at_stop,exchange_00_real_at_stop,exchange_00_imag_at_stop,exchange_01_real_at_stop,exchange_01_imag_at_stop,exchange_10_real_at_stop,exchange_10_imag_at_stop,exchange_11_real_at_stop,exchange_11_imag_at_stop,exchange_hermiticity_error,g_hermiticity_error,solver_function_evaluations,solver_status
0.4,0,0.6,0.005,1,0.13815696118568402,1.7378003650073843,0.6000000000000001,0.7870263251781907,0.3245587637425803,0.0,0.0,-1.307753766180597e-19,0.0,1.307753766180597e-19,0.4624675614356104,0.0,0.0,0.0,2090,1
0.4,0,0.75,0.02,1,0.1207729436012851,1.8722785201080376,0.7500000000000002,0.9219482743091495,0.36789818798118434,0.0,0.0,-4.419936441882168e-19,0.0,4.419936441882168e-19,0.5540500863279652,0.0,0.0,0.0,566,1
0.4,0,0.75,0.01,1,0.12077294360195596,1.8722785201024827,0.7500000000000001,0.9219482743128626,0.3678981879842934,0.0,0.0,-3.809553967067802e-19,0.0,3.809553967067802e-19,0.5540500863285692,0.0,0.0,0.0,1130,1
0.4,0,0.75,0.005,1,0.1207729436013501,1.8722785201074994,0.7499999999999992,0.9219482743112596,0.36789818798323637,0.0,0.0,-6.300745017586653e-19,0.0,6.300745017586653e-19,0.5540500863280232,0.0,0.0,0.0,2252,1
0.4,0,1.0,0.02,1,0.10290767857218584,2.0323585419629344,1.0,1.1901468138305393,0.45902418949791535,0.0,0.0,-4.664825130242232e-19,0.0,4.664825130242232e-19,0.7311226243326239,0.0,0.0,0.0,614,1
0.4,0,1.0,0.01,1,0.10290767857327031,2.032358541952396,0.9999999999999994,1.1901468138539275,0.4590241895217585,0.0,0.0,-1.2381873837740691e-19,0.0,1.2381873837740691e-19,0.731122624332169,0.0,0.0,0.0,1226,1
0.4,0,1.0,0.005,1,0.10290767857151556,2.032358541969448,1.0,1.1901468138482199,0.459024189515315,0.0,0.0,-7.912381712045944e-19,0.0,7.912381712045944e-19,0.7311226243329049,0.0,0.0,0.0,2444,1
0.4,1,0.2,0.02,1,0.23735862529388063,1.1966186193961694,0.19999999999999996,0.5682712600208736,0.2841356300104368,0.0,0.0,-1.068571218197934e-19,0.0,1.068571218197934e-19,0.2841356300104368,0.0,0.0,0.0,368,1
0.4,1,0.2,0.01,1,0.23735862529308327,1.1966186193995287,0.20000000000000012,0.5682712600174368,0.2841356300087184,0.0,0.0,1.2807954636644827e-19,0.0,-1.2807954636644827e-19,0.2841356300087184,0.0,0.0,0.0,722,1
0.4,1,0.2,0.005,1,0.23735862529310162,1.1966186193994515,0.1999999999999999,0.5682712600175153,0.28413563000875763,0.0,0.0,4.102071819237773e-20,0.0,-4.102071819237773e-20,0.28413563000875763,0.0,0.0,0.0,1442,1
0.4,1,0.25,0.02,1,0.21430975232714197,1.2987683944414241,0.25000000000000006,0.594898010272372,0.297449005136186,0.0,0.0,-7.284659042128591e-21,0.0,7.284659042128591e-21,0.297449005136186,0.0,0.0,0.0,398,1
0.4,1,0.25,0.01,1,0.21430975232575428,1.2987683944478994,0.25000000000000017,0.5948980102659552,0.2974490051329776,0.0,0.0,1.9693539197185772e-19,0.0,-1.9693539197185772e-19,0.2974490051329776,0.0,0.0,0.0,782,1
0.4,1,0.25,0.005,1,0.21430975232576874,1.2987683944478319,0.25,0.5948980102660217,0.29744900513301087,0.0,0.0,1.6119443533902965e-20,0.0,-1.6119443533902965e-20,0.29744900513301087,0.0,0.0,0.0,1562,1
0.4,1,0.3,0.02,1,0.1968595275650638,1.383700387365824,0.3,0.6232743150358264,0.3116371575179132,0.0,0.0,-9.843120296716255e-20,0.0,9.843120296716255e-20,0.3116371575179132,0.0,0.0,0.0,422,1
0.4,1,0.3,0.01,1,0.19685952756515196,1.3837003873653761,0.29999999999999993,0.6232743150362522,0.3116371575181261,0.0,0.0,2.586814351333285e-19,0.0,-2.586814351333285e-19,0.3116371575181261,0.0,0.0,0.0,836,1
0.4,1,0.3,0.005,1,0.1968595275650952,1.3837003873656646,0.2999999999999999,0.6232743150359779,0.3116371575179889,0.0,0.0,-6.316082338730079e-20,0.0,6.316082338730079e-20,0.3116371575179889,0.0,0.0,0.0,1664,1
0.4,1,0.4,0.02,1,0.17153843742160857,1.5213834373105484,0.40000000000000013,0.685937598191708,0.342968799095854,0.0,0.0,-3.786005014458121e-19,0.0,3.786005014458121e-19,0.342968799095854,0.0,0.0,0.0,464,1
0.4,1,0.4,0.01,1,0.17153843741899744,1.5213834373257702,0.40000000000000013,0.6859375981786263,0.34296879908931316,0.0,0.0,2.4959579232668057e-19,0.0,-2.4959579232668057e-19,0.34296879908931316,0.0,0.0,0.0,920,1
0.4,1,0.4,0.005,1,0.17153843741893493,1.5213834373261346,0.39999999999999986,0.6859375981783128,0.3429687990891564,0.0,0.0,-2.4825629503309383e-20,0.0,2.4825629503309383e-20,0.3429687990891564,0.0,0.0,0.0,1832,1
0.4,1,0.5,0.02,1,0.15367022494535013,1.6313818938246263,0.5000000000000003,0.7570402774588253,0.37852013872941265,0.0,0.0,-8.587257508428907e-19,0.0,8.587257508428907e-19,0.37852013872941265,0.0,0.0,0.0,494,1
0.4,1,0.5,0.01,1,0.15367022494638002,1.6313818938179243,0.5000000000000001,0.7570402774639445,0.37852013873197227,0.0,0.0,6.35910008162934e-20,0.0,-6.35910008162934e-20,0.37852013873197227,0.0,0.0,0.0,986,1
0.4,1,0.5,0.005,1,0.15367022494626328,1.631381893818684,0.5,0.757040277463364,0.378520138731682,0.0,0.0,-3.418847674830191e-20,0.0,3.418847674830191e-20,0.378520138731682,0.0,0.0,0.0,1964,1
0.4,1,0.6,0.02,1,0.14030659537586526,1.7223608086142876,0.5999999999999996,0.8364941904170836,0.4182470952085418,0.0,0.0,-8.584783415519757e-19,0.0,8.584783415519757e-19,0.4182470952085418,0.0,0.0,0.0,524,1
0.4,1,0.6,0.01,1,0.14030659537010065,1.7223608086553734,0.5999999999999998,0.8364941903893872,0.4182470951946936,0.0,0.0,2.7548277086849576e-19,0.0,-2.7548277086849576e-19,0.4182470951946936,0.0,0.0,0.0,1040,1
0.4,1,0.6,0.005,1,0.14030659536971998,1.7223608086580866,0.5999999999999995,0.8364941903875579,0.41824709519377895,0.0,0.0,2.3837924120670595e-19,0.0,-2.3837924120670595e-19,0.41824709519377895,0.0,0.0,0.0,2072,1
0.4,1,0.75,0.02,1,0.12572006239420583,1.8321330954874153,0.7500000000000003,0.9694270229417288,0.4847135114708644,0.0,0.0,-1.8358550644051824e-18,0.0,1.8358550644051824e-18,0.48471351147086433,0.0,0.0,0.0,554,1
0.4,1,0.75,0.01,1,0.1257200623957257,1.832133095475326,0.7500000000000001,0.9694270229484901,0.4847135114742451,0.0,0.0,7.581200764289383e-19,0.0,-7.581200764289383e-19,0.4847135114742451,0.0,0.0,0.0,1106,1
0.4,1,0.75,0.005,1,0.12572006239500136,1.8321330954810875,0.7500000000000011,0.9694270229452688,0.4847135114726344,0.0,0.0,4.108630483262965e-19,0.0,-4.108630483262965e-19,0.4847135114726344,0.0,0.0,0.0,2204,1
0.4,1,1.0,0.02,1,0.11024571095579648,1.9634791930366986,0.9999999999999998,1.2172133220737478,0.608606661036874,0.0,0.0,-3.179965992793531e-18,0.0,3.179965992793531e-18,0.6086066610368739,0.0,0.0,0.0,596,1
0.4,1,1.0,0.01,1,0.11024571094243998,1.9634791931578506,0.9999999999999999,1.2172133220225583,0.6086066610112791,0.0,0.0,1.6959715594603179e-18,0.0,-1.6959715594603179e-18,0.6086066610112791,0.0,0.0,0.0,1184,1
0.4,1,1.0,0.005,1,0.11024571094006864,1.96347919317936,0.9999999999999999,1.2172133220134702,0.6086066610067351,0.0,0.0,2.468900074257283e-20,0.0,-2.468900074257283e-20,0.6086066610067351,0.0,0.0,0.0,2360,1
0.45,0,0.2,0.02,1,0.2648693970298377,1.0869539406085018,0.20000000000000007,0.5400264935443639,0.2510135646904942,0.0,0.0,-6.289303978821032e-20,0.0,6.289303978821032e-20,0.2890129288538698,0.0,0.0,0.0,332,1
0.45,0,0.2,0.01,1,0.2648693970303215,1.0869539406066753,0.20000000000000004,0.5400264935455563,0.25101356469094843,0.0,0.0,-5.248890131809912e-21,0.0,5.248890131809912e-21,0.28901292885460794,0.0,0.0,0.0,656,1
0.45,0,0.2,0.005,1,0.2648693970303371,1.0869539406066162,0.20000000000000007,0.5400264935455945,0.2510135646909628,0.0,0.0,-6.914162379645696e-20,0.0,6.914162379645696e-20,0.2890129288546317,0.0,0.0,0.0,1310,1
0.45,0,0.25,0.02,1,0.2336031216755616,1.2125671895096988,0.24999999999999997,0.5614608966976568,0.25570405929797835,0.0,0.0,-4.920174717967312e-20,0.0,4.920174717967312e-20,0.3057568373996784,0.0,0.0,0.0,374,1
0.45,0,0.25,0.01,1,0.23360312167560926,1.2125671895094947,0.24999999999999997,0.5614608966977702,0.25570405929801365,0.0,0.0,-4.740818854170418e-20,0.0,4.740818854170418e-20,0.30575683739975656,0.0,0.0,0.0,734,1
0.45,0,0.25,0.005,1,0.2336031216755764,1.2125671895096355,0.24999999999999997,0.5614608966976882,0.2557040592979857,0.0,0.0,-5.748367132798643e-20,0.0,5.748367132798643e-20,0.30575683739970255,0.0,0.0,0.0,1460,1
0.45,0,0.3,0.02,1,0.21028931748631272,1.3177065188394828,0.29999999999999993,0.585069585124842,0.26115585198375163,0.0,0.0,-1.0745675886462849e-19,0.0,1.0745675886462849e-19,0.3239137331410903,0.0,0.0,0.0,404,1
0.45,0,0.3,0.01,1,0.21028931748472812,1.3177065188470178,0.2999999999999997,0.5850695851207526,0.2611558519823818,0.0,0.0,-1.2019766051179856e-19,0.0,1.2019766051179856e-19,0.32391373313837074,0.0,0.0,0.0,794,1
