beta0,threshold,active_RG_scale,control_RG_scale,active_to_control_scale_ratio,petermann_factor,bare_SW_exchange,flat_band_SW_scale
0.48,0.2,0.26640961241188604,0.23995652750281465,1.110241155697509,16.75384615384611,0.24,0.029775873640523403
0.48,0.25,0.23462496813845088,0.21687910783209277,1.0818237426543496,16.75384615384611,0.24,0.029775873640523403
0.48,0.3,0.21095110243256954,0.19936517201434917,1.058114114422084,16.75384615384611,0.24,0.029775873640523403
0.48,0.4,0.1774621276055697,0.1738492642778369,1.020781585373631,16.75384615384611,0.24,0.029775873640523403
0.48,0.5,0.15461573490244396,0.15573661102315595,0.9928027448822209,16.75384615384611,0.24,0.029775873640523403
0.48,0.6,0.13801424265553727,0.14211647060467858,0.9711347465097669,16.75384615384611,0.24,0.029775873640523403
0.48,0.75,0.12038939975396216,0.1271807602803373,0.9466007239506562,16.75384615384611,0.24,0.029775873640523403
0.48,1.0,0.10231736348456216,0.11129763036261034,0.919313045131417,16.75384615384611,0.24,0.029775873640523403
0.49,0.2,0.266897022876099,0.24028565941478663,1.1107488625252298,33.41856540084365,0.24,0.029775873640523403
0.49,0.25,0.234940215326614,0.21720461973007427,1.08165385993438,33.41856540084365,0.24,0.029775873640523403
0.49,0.3,0.21114752852122898,0.19968264732947913,1.0574155107871372,33.41856540084365,0.24,0.029775873640523403
0.49,0.4,0.17751811702612535,0.17414207153268665,1.0193867309819213,33.41856540084365,0.24,0.029775873640523403
0.49,0.5,0.15460699262731822,0.15599822179316586,0.9910817626646269,33.41856540084365,0.24,0.029775873640523403
0.49,0.6,0.13798018447101937,0.14234509005714172,0.9693357488876494,33.41856540084365,0.24,0.029775873640523403
0.49,0.75,0.12034839406328722,0.12736419608705343,0.9449154296159423,33.41856540084365,0.24,0.029775873640523403
0.49,1.0,0.10227906096692102,0.1114281381174265,0.9178925780769676,33.41856540084365,0.24,0.029775873640523403
0.495,0.2,0.26713590501984313,0.2404505840849818,1.1109804787391575,66.75094339622518,0.24,0.029775873640523403
0.495,0.25,0.2350931267335404,0.21736773020658212,1.0815456669217294,66.75094339622518,0.24,0.029775873640523403
0.495,0.3,0.21124124968786856,0.19984173371595124,1.0570427195558674,66.75094339622518,0.24,0.029775873640523403
0.495,0.4,0.17754239872459712,0.17428879811035616,1.018667869934939,66.75094339622518,0.24,0.029775873640523403
0.495,0.5,0.15460003444311088,0.1561292965187181,0.9902051561769263,66.75094339622518,0.24,0.029775873640523403
0.495,0.6,0.13796187184120315,0.1424595904305453,0.9684281095028491,66.75094339622518,0.24,0.029775873640523403
0.495,0.75,0.12032857162617808,0.12745597307180087,0.9440795023265983,66.75094339622518,0.24,0.029775873640523403
0.495,1.0,0.10226317849873663,0.11149329465164955,0.9172137106383702,66.75094339622518,0.24,0.029775873640523403
0.5,0.2,0.26737158637803654,0.24061574686443374,1.1111973753267173,3.245185536584265e+31,0.24,0.029775873640523403
0.5,0.25,0.23524290936604814,0.21753107601798313,1.081422083098604,3.245185536584265e+31,0.24,0.029775873640523403
0.5,0.3,0.21133198755502938,0.20000105160745982,1.056654381846995,3.245185536584265e+31,0.24,0.029775873640523403
0.5,0.4,0.17756421407854314,0.17443573908208856,1.0179348281087188,3.245185536584265e+31,0.24,0.029775873640523403
0.5,0.5,0.15459135723042072,0.15626054987299667,0.9893178883350109,3.245185536584265e+31,0.24,0.029775873640523403
0.5,0.6,0.13794270466626204,0.1425742167646374,0.9675150794899957,3.245185536584265e+31,0.24,0.029775873640523403
0.5,0.75,0.12030920007090092,0.1275477877902041,0.9432480339744543,3.245185536584265e+31,0.24,0.029775873640523403
0.5,1.0,0.1022494893308869,0.11155838407653239,0.9165558481085625,3.245185536584265e+31,0.24,0.029775873640523403
0.52,0.2,0.2682825175529393,0.24127876365583004,1.1119193147708122,17.58699186991867,0.24,0.029775873640523403
0.52,0.25,0.23581093708157563,0.21818679744480085,1.080775463241462,17.58699186991867,0.24,0.029775873640523403
0.52,0.3,0.21166526949267545,0.20064062359085189,1.0549472270595865,17.58699186991867,0.24,0.029775873640523403
