beta0,control_gamma_pt_zero,log_scale,cutoff,gmax,exchange_trace_real
0.5,0,1.4480772994843827,0.18458563538538023,0.37548221007283944,0.620813995557345
0.5,0,1.4547504667631126,0.183357965342776,0.37960304255340377,0.6231054462348733
0.5,0,1.4614236340418425,0.18213846047364457,0.38376407188623196,0.6254358687622812
0.5,0,1.4680968013205722,0.1809270664718161,0.3879657148880559,0.6278060218759736
0.5,0,1.474769968599302,0.17972372939230843,0.3922083981158033,0.6302166821524164
0.5,0,1.481443135878032,0.17852839564892486,0.3964925582775729,0.632668644535368
0.5,0,1.488116303156762,0.1773410120118678,0.4008186426603607,0.6351627228826583
0.5,0,1.4947894704354918,0.17616152560536852,0.40518710957518195,0.6376997505333383
0.5,0,1.5014626377142217,0.17498988390533243,0.4095984288199387,0.64028058089568
0.5,0,1.5081358049929516,0.17382603473700012,0.414053082161086,0.642906088057416
0.5,0,1.5148089722716813,0.17266992627262395,0.4185515638348301,0.6455771674191588
0.5,0,1.5214821395504112,0.17152150702916005,0.4230943810682622,0.6482947363515821
0.5,0,1.5281553068291411,0.17038072586597583,0.42768205462163467,0.6510597348779523
0.5,0,1.534828474107871,0.16924753198257256,0.43231511935261957,0.6538731263831087
0.5,0,1.541501641386601,0.16812187491632305,0.4369941248030157,0.6567358983495741
0.5,0,1.5481748086653309,0.1670037045402247,0.44171963580929346,0.6596490631226433
0.5,0,1.5548479759440608,0.16589297106066705,0.44649223313794395,0.662613658705707
0.5,0,1.5615211432227905,0.1647896250152146,0.4513125141461717,0.6656307495866443
0.5,0,1.5681943105015204,0.16369361727040402,0.4561810934695429,0.6687014275974041
0.5,0,1.5748674777802503,0.16260489901955621,0.46109860373769485,0.6718268128082534
0.5,0,1.5815406450589802,0.16152342178060305,0.4660656963187526,0.6750080544576784
0.5,0,1.58821381233771,0.16044913739392822,0.4710830420943048,0.6782463319204077
0.5,0,1.59488697961644,0.15938199802022252,0.47615133226624035,0.6815428557152765
0.5,0,1.6015601468951697,0.15832195613835395,0.4812712791961887,0.6848988685541211
0.5,0,1.6082333141738996,0.15726896454325093,0.4864436172797372,0.688315646434571
0.5,0,1.6149064814526295,0.15622297634380067,0.49166910385692436,0.6917944997787577
0.5,0,1.6215796487313594,0.15518394496076085,0.4969485201599082,0.6953367746193699
0.5,0,1.6282528160100893,0.15415182412468542,0.502282672300333,0.6989438538363979
0.5,0,1.6349259832888192,0.1531265678738642,0.5076723922981607,0.7026171584469483
0.5,0,1.6415991505675491,0.15210813055227598,0.5131185391530334,0.7063581489498485
0.5,0,1.6482723178462788,0.15109646680755565,0.5186219999611266,0.7101683267289567
0.5,0,1.6549454851250087,0.15009153158897431,0.5241836910795713,0.7140492355179886
0.5,0,1.6616186524037386,0.14909328014543338,0.5298045593397244,0.7180024629289401
0.5,0,1.6682918196824685,0.1481016680234717,0.5354855833127696,0.7220296420487067
0.5,0,1.6749649869611984,0.1471166510652857,0.5412277746301007,0.7261324531072304
0.5,0,1.6816381542399284,0.1461381854067634,0.5470321793600412,0.7303126252197019
0.5,0,1.688311321518658,0.14516622747553087,0.5528998794449982,0.7345719382082299
0.5,0,1.694984488797388,0.14420073398901173,0.5588319942019697,0.7389122245069575
0.5,0,1.7016576560761179,0.1432416619525001,0.5648296818882911,0.7433353711536899
0.5,0,1.7083308233548478,0.1422889686572457,0.5708941413374691,0.7478433218744396
0.5,0,1.7150039906335777,0.14134261167855205,0.5770266136685915,0.7524380792656503
0.5,0,1.7216771579123076,0.1404025488738873,0.5832283840716105,0.7571217070778397
0.5,0,1.7283503251910375,0.13946873838100757,0.5895007836742631,0.7618963326082634
0.5,0,1.7350234924697672,0.13854113861609257,0.5958451914948052,0.7667641492083287
0.5,0,1.741696659748497,0.13761970827189401,0.6022630364833897,0.7717274189103343
0.5,0,1.748369827027227,0.1367044063158962,0.6087557996589467,0.7767884751825996
0.5,0,1.755042994305957,0.1357951919884886,0.6153250163466126,0.7819497258199042
0.5,0,1.7617161615846868,0.1348920248011509,0.6219722785191837,0.7872136559748573
0.5,0,1.7683893288634167,0.13399486453464993,0.6286992372508149,0.7925828313410572
0.5,0,1.7750624961421464,0.1331036712372487,0.6355076052890672,0.7980599014964296
0.5,0,1.7817356634208763,0.13221840522292722,0.6423991597496077,0.8036476034136848
0.5,0,1.7884088306996062,0.13133902706961537,0.6493757449434538,0.8093487651509599
0.5,0,1.7950819979783361,0.13046549761743717,0.6564392753441735,0.8151663097328667
0.5,0,1.801755165257066,0.1295977779669672,0.6635917387004024,0.821103259230554
0.5,0,1.808428332535796,0.12873582947749812,0.6708351993056352,0.8271627390565816
0.5,0,1.8151014998145258,0.12787961376532006,0.6781718014343212,0.8333479824871157
