beta0,control_gamma_pt_zero,omega,rho_min_eigenvalue,rho_max_eigenvalue,rho_trace,resolvent_sandwich_identity_error
0.5,0,-0.23600000000000002,0.0908211270782329,0.999032397860562,1.0898535249387948,1.1451735012863616e-16
0.5,0,-0.23500000000000001,0.09143551488223789,1.0057906637046168,1.0972261785868547,5.55334240095177e-17
0.5,0,-0.234,0.09205560940013602,1.0126117034014972,1.104667312801633,2.430048716376203e-17
0.5,0,-0.233,0.09268147336073912,1.019496206968131,1.11217768032887,5.55723022848374e-17
0.5,0,-0.232,0.09331317019928195,1.0264448721921018,1.1197580423913838,1.1503764704622842e-16
0.5,0,-0.231,0.09395076406304231,1.0334584046934663,1.1274091687565084,2.0340889745636572e-17
0.5,0,-0.23,0.09459431981687685,1.0405375179856455,1.1351318378025224,1.1110265086104965e-16
0.5,0,-0.229,0.09524390304866487,1.0476829335353146,1.1429268365839795,5.551123191507463e-17
0.5,0,-0.228,0.09589958007465374,1.0548953808211914,1.1507949608958452,5.559379939662973e-17
0.5,0,-0.227,0.0965614179446952,1.0621755973916478,1.158737015336343,2.2283686971066185e-16
0.5,0,-0.226,0.09722948444736712,1.0695243289210388,1.166753813368406,3.4914024309541135e-17
0.5,0,-0.225,0.0979038481149683,1.0769423292646512,1.1748461773796195,1.1920156402666334e-16
0.5,0,-0.22400000000000003,0.09858457822837921,1.0844303605121708,1.18301493874055,1.1110240366462433e-16
0.5,0,-0.22300000000000003,0.09927174482177814,1.09198919303956,1.1912609378613381,1.202981366694368e-16
0.5,0,-0.22200000000000003,0.0999654186872026,1.099619605559229,1.1995850242464317,1.6772956122430063e-16
0.5,0,-0.22100000000000003,0.10066567137894414,1.1073223851683867,1.2079880565473309,5.602635347153463e-17
0.5,0,-0.22000000000000003,0.10137257521776763,1.1150983273954451,1.2164709026132128,5.592193493139762e-17
0.5,0,-0.21900000000000003,0.10208620329494092,1.1229482362443504,1.2250344395392914,1.1341735705099685e-16
0.5,0,-0.21800000000000003,0.10280662947606431,1.1308729242367086,1.233679553712773,6.51735239958128e-17
0.5,0,-0.21700000000000003,0.10353392840468714,1.1388732124515597,1.2424071408562467,1.1123217828369878e-16
0.5,0,-0.21600000000000003,0.10426817550569656,1.1469499305626627,1.2512181060683594,2.265790897814678e-16
0.5,0,-0.21500000000000002,0.1050094469884669,1.1551039168731374,1.2601133638616042,1.2208525075411503e-16
0.5,0,-0.21400000000000002,0.10575781984975435,1.1633360183472976,1.269093838197052,1.172666219166261e-16
0.5,0,-0.21300000000000002,0.1065133718763207,1.1716470906395278,1.2781604625158485,1.1192903222491708e-16
0.5,0,-0.21200000000000002,0.1072761816472737,1.180037998120011,1.2873141797672847,7.508569253757951e-17
