beta0,control_gamma_pt_zero,pole_index,pole_real,pole_halfwidth,coherent_channel,relative_rate_channel
0.4375,0,0,-0.04157542092390647,0.12,0.096875,0.08750000000000001
0.4375,0,1,0.04157542092390647,0.12,0.096875,0.08750000000000001
0.4375,1,0,-0.096875,0.12,0.096875,0.0
0.4375,1,1,0.096875,0.12,0.096875,0.0
0.44,0,0,-0.04080441152620632,0.12,0.097,0.08800000000000001
0.44,0,1,0.04080441152620632,0.12,0.097,0.08800000000000001
0.44,1,0,-0.097,0.12,0.097,0.0
0.44,1,1,0.097,0.12,0.097,0.0
0.4425,0,0,-0.04001269329850215,0.12,0.097125,0.08850000000000001
0.4425,0,1,0.04001269329850215,0.12,0.097125,0.08850000000000001
0.4425,1,0,-0.097125,0.12,0.097125,0.0
0.4425,1,1,0.097125,0.12,0.097125,0.0
0.445,0,0,-0.039199011467127585,0.12,0.09725,0.08900000000000001
0.445,0,1,0.039199011467127585,0.12,0.09725,0.08900000000000001
0.445,1,0,-0.09725,0.12,0.09725,0.0
0.445,1,1,0.09725,0.12,0.09725,0.0
0.4475,0,0,-0.03836196847139103,0.12,0.097375,0.08950000000000001
0.4475,0,1,0.03836196847139103,0.12,0.097375,0.08950000000000001
0.4475,1,0,-0.097375,0.12,0.097375,0.0
0.4475,1,1,0.097375,0.12,0.097375,0.0
0.45,0,0,-0.03749999999999999,0.12,0.0975,0.09000000000000001
0.45,0,1,0.03749999999999999,0.12,0.0975,0.09000000000000001
0.45,1,0,-0.0975,0.12,0.0975,0.0
0.45,1,1,0.0975,0.12,0.0975,0.0
0.4525,0,0,-0.036611345577566526,0.12,0.097625,0.09050000000000001
0.4525,0,1,0.036611345577566526,0.12,0.097625,0.09050000000000001
0.4525,1,0,-0.097625,0.12,0.097625,0.0
0.4525,1,1,0.097625,0.12,0.097625,0.0
0.455,0,0,-0.03569401210287237,0.12,0.09775,0.09100000000000001
0.455,0,1,0.03569401210287237,0.12,0.09775,0.09100000000000001
0.455,1,0,-0.09775,0.12,0.09775,0.0
0.455,1,1,0.09775,0.12,0.09775,0.0
0.4575,0,0,-0.03474572815469546,0.12,0.097875,0.09150000000000001
0.4575,0,1,0.03474572815469546,0.12,0.097875,0.09150000000000001
0.4575,1,0,-0.097875,0.12,0.097875,0.0
0.4575,1,1,0.097875,0.12,0.097875,0.0
0.46,0,0,-0.033763886032268244,0.12,0.098,0.09200000000000001
0.46,0,1,0.033763886032268244,0.12,0.098,0.09200000000000001
0.46,1,0,-0.098,0.12,0.098,0.0
0.46,1,1,0.098,0.12,0.098,0.0
0.4625,0,0,-0.0327454672435743,0.12,0.098125,0.09250000000000001
0.4625,0,1,0.0327454672435743,0.12,0.098125,0.09250000000000001
0.4625,1,0,-0.098125,0.12,0.098125,0.0
0.4625,1,1,0.098125,0.12,0.098125,0.0
0.465,0,0,-0.03168694526141638,0.12,0.09825,0.09300000000000001
0.465,0,1,0.03168694526141638,0.12,0.09825,0.09300000000000001
0.465,1,0,-0.09825,0.12,0.09825,0.0
0.465,1,1,0.09825,0.12,0.09825,0.0
0.4675,0,0,-0.030584156437606695,0.12,0.098375,0.09350000000000001
0.4675,0,1,0.030584156437606695,0.12,0.098375,0.09350000000000001
0.4675,1,0,-0.098375,0.12,0.098375,0.0
0.4675,1,1,0.098375,0.12,0.098375,0.0
0.47000000000000003,0,0,-0.029432125305522857,0.12,0.0985,0.09400000000000001
0.47000000000000003,0,1,0.029432125305522857,0.12,0.0985,0.09400000000000001
0.47000000000000003,1,0,-0.0985,0.12,0.0985,0.0
0.47000000000000003,1,1,0.0985,0.12,0.0985,0.0
0.47250000000000003,0,0,-0.028224822851525555,0.12,0.098625,0.09450000000000001
0.47250000000000003,0,1,0.028224822851525555,0.12,0.098625,0.09450000000000001
0.47250000000000003,1,0,-0.098625,0.12,0.098625,0.0
0.47250000000000003,1,1,0.098625,0.12,0.098625,0.0
0.47500000000000003,0,0,-0.026954823316059744,0.12,0.09875,0.09500000000000001
0.47500000000000003,0,1,0.026954823316059744,0.12,0.09875,0.09500000000000001
0.47500000000000003,1,0,-0.09875,0.12,0.09875,0.0
0.47500000000000003,1,1,0.09875,0.12,0.09875,0.0
0.47750000000000004,0,0,-0.025612801974793726,0.12,0.098875,0.09550000000000002
0.47750000000000004,0,1,0.025612801974793726,0.12,0.098875,0.09550000000000002
0.47750000000000004,1,0,-0.098875,0.12,0.098875,0.0
0.47750000000000004,1,1,0.098875,0.12,0.098875,0.0
0.48000000000000004,0,0,-0.024186773244895588,0.12,0.099,0.09600000000000002
0.48000000000000004,0,1,0.024186773244895588,0.12,0.099,0.09600000000000002
0.48000000000000004,1,0,-0.099,0.12,0.099,0.0
0.48000000000000004,1,1,0.099,0.12,0.099,0.0
0.48250000000000004,0,0,-0.022660883146956096,0.12,0.099125,0.09650000000000002
0.48250000000000004,0,1,0.022660883146956096,0.12,0.099125,0.09650000000000002
0.48250000000000004,1,0,-0.099125,0.12,0.099125,0.0
0.48250000000000004,1,1,0.099125,0.12,0.099125,0.0
0.485,0,0,-0.021013388589182874,0.12,0.09925,0.097
